college,draftees,hits,hit_rate,total_min,value_added
California-Los Angeles,36,16,0.444,426855,121156.2
North Carolina,33,18,0.545,491466,67901
Wake Forest,10,7,0.7,197526,67849.3
Alabama,13,5,0.385,162157,59480.3
Marquette,11,3,0.273,112999,44280.2
Florida,18,10,0.556,232686,42530.1
Villanova,11,7,0.636,141625,40682.7
Xavier,11,4,0.364,115739,38153
Clemson,8,5,0.625,95451,34487.2
Michigan State,21,7,0.333,200526,31236.7
Arkansas,10,7,0.7,128375,31038.4
California,12,4,0.333,138160,30503
Southern California,12,5,0.417,145722,30020.3
Connecticut,29,12,0.414,371198,27329.9
Michigan,23,10,0.435,286230,26194
Georgetown,15,9,0.6,223916,23747.3
Kentucky,41,25,0.61,507623,23476.7
Arizona,37,13,0.351,407659,19438.2
Georgia Tech,22,13,0.591,276895,19254.9
Tennessee,10,3,0.3,81464,11854.9
Texas,22,9,0.409,243256,11409.7
Boston College,9,4,0.444,87920,11208.8
Temple,9,2,0.222,87117,8880.9
Stanford,16,7,0.438,156011,6219.8
Cincinnati,14,5,0.357,119601,4940
Colorado,8,3,0.375,77486,3235
Purdue,9,3,0.333,59397,1696.8
Utah,8,4,0.5,100983,1696.7
Pittsburgh,10,2,0.2,55624,1274
Arizona State,9,2,0.222,68963,-1352.3
Virginia,8,2,0.25,55963,-1658.3
Oklahoma,13,3,0.231,81259,-3575
Fresno State,10,2,0.2,68681,-5055.4
St. John's (NY),11,3,0.273,72948,-5528
Miami (FL),10,2,0.2,39925,-5918.5
Providence,13,5,0.385,72174,-6331.5
Oregon,10,4,0.4,69180,-7215.2
New Mexico,8,4,0.5,63275,-8677.9
Wisconsin,8,2,0.25,79692,-9698.3
Missouri,14,4,0.286,91751,-10655.5
Ohio State,15,6,0.4,159081,-10794.5
Georgia,13,2,0.154,68277,-11734.7
Notre Dame,9,4,0.444,74750,-13592.4
Florida State,15,4,0.267,100970,-14701.3
Iowa,12,2,0.167,49949,-20441.1
Oklahoma State,13,4,0.308,89101,-22180.3
Washington,13,5,0.385,89879,-24579.1
Illinois,14,3,0.214,112792,-24691.4
Gonzaga,8,1,0.125,41152,-25561.7
Minnesota,10,4,0.4,70764,-26553.8
Nevada-Las Vegas,11,5,0.455,140904,-30489.4
Baylor,8,1,0.125,25187,-30598
North Carolina State,11,4,0.364,63973,-32319.7
Maryland,19,7,0.368,153107,-33342.3
Vanderbilt,8,0,0,9020,-35862.2
Kansas,34,15,0.441,340833,-36365.2
Memphis,16,5,0.312,136788,-38222
Louisiana State,18,6,0.333,135403,-40308.7
Iowa State,10,2,0.2,50272,-40969.5
Duke,41,17,0.415,483169,-42378.7
Indiana,16,6,0.375,119692,-59929.8
Syracuse,26,8,0.308,209073,-71408
Louisville,18,6,0.333,105952,-72557.9
