PLAYER_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
120,942,717,28856,4609,10485,0.439580352885,1148,3208,0.357855361596,3064,3625,0.84524137931,1112,1948,3060,2922,726,275,1714,2278,13430
124,1134,979,33838,5205,10510,0.49524262607,100,426,0.234741784037,2888,4176,0.691570881226,2881,6445,9326,3541,1288,1631,2470,3609,13398
129,224,172,7307,1516,3052,0.496723460026,0,3,0.0,701,954,0.734800838574,497,1386,1883,356,201,282,495,745,3733
132,41,6,395,50,129,0.387596899224,9,25,0.36,58,85,0.682352941176,21,37,58,18,11,15,27,45,167
136,1089,990,33828,3852,8365,0.460490137477,8,59,0.135593220338,2158,2718,0.793966151582,3002,5407,8409,1661,912,1116,1342,3218,9870
138,352,156,6729,814,2019,0.403169886082,0,2,0.0,330,481,0.68607068607,560,1024,1584,278,166,211,416,824,1958
143,402,65,7302,1082,2632,0.411094224924,328,867,0.378316032295,743,954,0.778825995807,144,444,588,1034,213,36,617,830,3235
145,659,80,12103,2181,5070,0.430177514792,753,1942,0.387744593202,828,999,0.828828828828,505,1144,1649,508,361,161,603,1099,5943
146,720,29,8436,961,2221,0.432687978388,263,718,0.366295264623,200,316,0.632911392405,431,835,1266,560,314,144,297,732,2385
147,923,572,27928,4852,10945,0.443307446322,746,2102,0.354900095147,2770,3457,0.801272779866,491,2702,3193,3527,729,315,2102,2408,13220
168,568,328,17283,2391,5541,0.431510557661,439,1251,0.350919264588,1136,1391,0.816678648454,772,2036,2808,1063,421,247,726,1532,6357
179,586,406,16419,2021,4767,0.423956366687,306,931,0.328678839957,1598,1900,0.841052631578,605,1378,1983,1178,594,130,776,1092,5946
182,600,475,17618,2873,5969,0.481320154129,82,282,0.290780141843,1198,1904,0.629201680672,1449,2567,4016,1704,569,321,1310,1761,7026
183,413,204,10003,1847,3499,0.527865104315,2,14,0.142857142857,840,1215,0.691358024691,853,1711,2564,440,320,355,822,1297,4536
184,467,379,13429,1957,4416,0.443161231884,342,878,0.389521640091,897,1215,0.738271604938,411,1058,1469,1246,592,139,711,1106,5153
185,831,827,30844,7192,15024,0.478700745473,264,883,0.298980747451,2534,3906,0.648745519713,2271,5853,8124,3526,1197,1200,2313,2700,17182
189,55,8,809,72,189,0.380952380952,16,51,0.313725490196,35,50,0.7,13,49,62,174,36,2,97,58,195
190,541,262,9420,1029,2029,0.507146377525,2,7,0.285714285714,588,952,0.617647058823,794,1479,2273,243,220,767,500,1471,2648
192,629,376,17983,2962,7111,0.416537758402,1214,3060,0.396732026143,956,1206,0.792703150912,367,1407,1774,1296,525,197,768,1275,8094
195,496,150,10344,950,2287,0.415391342369,379,1006,0.376739562624,267,405,0.659259259259,142,500,642,1767,352,43,591,865,2546
197,383,122,7594,971,2321,0.41835415769,339,909,0.372937293729,366,506,0.723320158102,395,937,1332,527,341,180,337,865,2647
198,917,186,18129,2505,5615,0.446126447016,677,1724,0.392691415313,752,895,0.840223463687,647,1903,2550,1185,384,292,811,1964,6439
208,993,690,29812,5698,12558,0.453734671125,672,2029,0.331197634302,3567,4144,0.860762548262,618,2603,3221,5939,1058,163,2418,2744,15635
210,724,480,21547,3908,8720,0.448165137614,394,1110,0.354954954954,1784,2043,0.873225648556,425,1749,2174,4407,1142,226,1419,1325,9994
211,113,38,1567,180,333,0.54054054054,3,4,0.75,77,162,0.475308641975,139,212,351,57,27,61,103,194,440
212,110,25,1003,86,217,0.396313364055,0,0,0.0,61,107,0.570093457943,101,180,281,4,12,70,96,179,233
213,903,524,26084,3187,7120,0.44761235955,2,23,0.086956521739,2665,3668,0.72655398037,2323,4432,6755,1017,430,889,1346,2551,9041
221,915,612,27742,4025,8537,0.471477099683,10,51,0.196078431372,2423,3261,0.743023612388,2126,4720,6846,1346,880,794,1430,2028,10483
223,147,11,1614,157,354,0.443502824858,2,9,0.222222222222,78,105,0.742857142857,124,166,290,60,61,44,75,345,394
224,954,902,32776,4932,11286,0.437001594896,1546,4147,0.372799614178,2745,3394,0.808780200353,761,3096,3857,2812,1620,580,1507,2483,14155
226,143,1,1395,121,266,0.454887218045,0,8,0.0,87,121,0.719008264462,80,130,210,50,55,46,89,207,329
228,617,98,10335,1120,2230,0.502242152466,1,14,0.071428571428,866,1213,0.71393239901,999,1557,2556,427,307,173,545,1114,3107
234,277,113,5837,744,1788,0.41610738255,235,647,0.363214837712,444,597,0.743718592964,163,417,580,886,234,32,446,629,2167
238,801,610,22390,2834,5643,0.502215133794,0,13,0.0,1864,2901,0.642537056187,2396,4458,6854,647,614,379,1244,2893,7532
