year,pick,player,ws,ws_per_48,bpm,vorp,g,mp,seasons
1990,36,Trevor Wilson,0.8,.023,-3.4,-0.6,103,1609,4
1990,37,A.J. English,1.1,.017,-3.9,-1.5,151,3108,2
1990,38,Jud Buechler,16.5,.094,-0.1,4.0,720,8444,12
1990,39,Steve Scheffler,2.9,.153,-1.9,0.0,174,918,7
1990,40,Bimbo Coles,27.4,.065,-1.6,1.9,852,20319,14
1990,41,Stephen Bardo,-0.1,-.020,-4.0,-0.2,33,299,3
1990,42,Marcus Liberty,4.0,.042,-2.6,-0.7,267,4568,4
1990,43,Tony Massenburg,15.6,.061,-4.5,-7.8,683,12291,13
1990,44,Steve Henson,3.8,.079,-1.8,0.1,238,2282,7
1990,45,Antonio Davis,59.6,.110,-1.3,4.4,903,26084,13
1990,46,Kenny Williams,7.4,.122,0.1,1.5,260,2918,4
1990,47,Derek Strong,18.5,.104,-2.1,-0.3,456,8548,10
1990,48,Cedric Ceballos,40.4,.132,0.7,10.1,609,14712,11
1990,49,Phil Henderson,,,,,,,
1990,50,Milos Babic,-0.1,-.028,-5.9,-0.1,21,87,2
1990,51,Tony Smith,6.7,.044,-2.0,0.0,457,7295,9
1990,52,Stefano Rusconi,-0.1,-.104,-11.4,-0.1,7,30,1
1990,53,Abdul Shamsid-Deen,,,,,,,
1990,54,Sean Higgins,0.4,.006,-4.7,-2.3,220,3334,6
1991,1,Larry Johnson,69.7,.130,1.4,22.0,707,25685,10
1991,2,Kenny Anderson,62.5,.116,1.4,21.9,858,25868,14
1991,3,Billy Owens,28.6,.078,-0.2,7.8,600,17619,10
1991,4,Dikembe Mutombo,117.0,.153,1.7,33.9,1196,36791,18
1991,5,Steven Smith,83.7,.139,1.4,24.6,942,28855,14
1991,6,Doug Smith,3.0,.024,-3.6,-2.4,296,5833,5
1991,7,Luc Longley,17.5,.070,-2.6,-1.9,567,12006,10
1991,8,Mark Macon,0.1,.001,-3.7,-2.2,251,5018,6
1991,9,Stacey Augmon,43.8,.097,-0.2,9.8,1001,21658,15
1991,10,Bison Dele,22.8,.109,-0.6,3.4,413,10004,8
1991,11,Terrell Brandon,65.9,.147,3.6,30.3,724,21545,11
1991,12,Greg Anthony,35.9,.109,1.3,13.3,757,15850,11
1991,13,Dale Davis,86.9,.141,0.5,18.4,1094,29606,16
1991,14,Rich King,0.2,.036,-6.9,-0.4,72,309,4
1991,15,Anthony Avent,0.3,.002,-5.7,-6.4,352,6729,6
1991,16,Chris Gatling,32.1,.112,-1.1,3.2,700,13760,11
1991,17,Victor Alexander,8.8,.073,-2.2,-0.3,286,5755,5
1991,18,Kevin Brooks,-0.1,-.004,-5.9,-1.0,126,1031,3
1991,19,Labradford Smith,1.5,.024,-3.6,-1.2,183,3131,3
1991,20,John Turner,-0.1,-.021,-7.9,-0.5,42,345,1
1991,21,Eric Murdock,25.6,.103,2.0,12.1,508,11882,9
1991,22,LeRon Ellis,1.2,.069,-3.5,-0.3,91,857,3
1991,23,Stanley Roberts,8.1,.066,-3.4,-2.0,300,5869,8
1991,24,Rick Fox,44.7,.090,0.0,11.7,930,23723,13
1991,25,Shaun Vandiver,,,,,,,
1991,26,Mark Randall,1.0,.054,-3.3,-0.3,127,883,4
1991,27,Pete Chilcutt,10.6,.060,-1.8,0.3,584,8394,9
1991,28,Kevin Lynch,0.4,.016,-4.4,-0.7,95,1143,2
1991,29,George Ackles,,,,,,,
1991,30,Rodney Monroe,-0.2,-.035,-5.3,-0.3,38,313,1
1991,31,Randy Brown,11.0,.046,-1.9,0.2,655,11533,12
1991,32,Chad Gallagher,0.1,1.442,30.1,0.0,2,3,1
1991,33,Donald Hodge,1.8,.025,-4.2,-1.9,249,3501,5
1991,34,Myron Brown,0.0,.032,-1.8,0.0,4,23,1
1991,35,Mike Iuzzolino,3.7,.058,-1.9,0.1,122,3049,2
1991,36,Chris Corchiani,1.6,.058,-1.8,0.1,112,1313,3
1991,37,Elliot Perry,14.0,.071,-0.5,3.6,549,9501,10
1991,38,Joe Wylie,,,,,,,
1991,39,Jimmy Oliver,0.3,.018,-4.7,-0.6,78,856,5
1991,40,Doug Overton,2.5,.016,-3.9,-3.5,499,7275,11
1991,41,Sean Green,-1.3,-.095,-7.0,-0.8,84,671,3
1991,42,Steve Hood,,,,,,,
1991,43,Lamont Strothers,-0.5,-.142,-7.7,-0.2,13,155,2
1991,44,Alvaro Teheran,,,,,,,
1991,45,Bobby Phills,27.2,.097,0.2,7.5,467,13426,9
1991,46,Richard Dumas,4.5,.097,-0.2,1.0,102,2226,3
