year,pick,player,ws,ws_per_48,bpm,vorp,g,mp,seasons
1996,20,Zydrunas Ilgauskas,66.3,.139,-0.2,10.2,843,22965,13
1996,21,Dontae' Jones,-0.3,-.175,-10.9,-0.2,15,91,1
1996,22,Roy Rogers,1.7,.035,-3.7,-1.0,137,2309,3
1996,23,Efthimios Rentzias,0.2,.058,-3.8,-0.1,35,144,1
1996,24,Derek Fisher,62.3,.091,-0.9,8.9,1287,32719,18
1996,25,Martin Muursepp,2.0,.100,-1.6,0.1,83,951,2
1996,26,Jerome Williams,37.9,.143,0.3,7.4,587,12755,9
1996,27,Brian Evans,1.7,.076,-0.8,0.3,102,1097,3
1996,28,Priest Lauderdale,-0.8,-.074,-7.9,-0.8,74,525,2
1996,29,Travis Knight,7.9,.083,-3.0,-1.1,371,4566,7
1996,30,Othella Harrington,23.1,.080,-3.4,-4.9,709,13924,12
1996,31,Mark Hendrickson,2.1,.067,-3.8,-0.7,114,1508,4
1996,32,Ryan Minor,,,,,,,
1996,33,Moochie Norris,10.0,.063,-1.4,1.2,445,7640,9
1996,34,Shawn Harvey,,,,,,,
1996,35,Joseph Blair,,,,,,,
1996,36,Doron Sheffer,,,,,,,
1996,37,Jeff McInnis,23.1,.070,-2.1,-0.3,576,15927,11
1996,38,Steve Hamer,0.2,.031,-6.5,-0.3,35,268,1
1996,39,Russ Millard,,,,,,,
1996,40,Marcus Mann,,,,,,,
1996,41,Jason Sasser,0.0,-.014,-5.7,-0.1,14,108,2
1996,42,Randy Livingston,2.3,.041,-2.5,-0.3,203,2684,11
1996,43,Ben Davis,0.1,.040,-5.5,-0.1,40,154,4
1996,44,Malik Rose,26.5,.095,-2.1,-0.4,813,13404,13
1996,45,Joe Vogel,,,,,,,
1996,46,Marcus Brown,0.3,.066,-2.6,0.0,27,229,2
1996,47,Ron Riley,,,,,,,
1996,48,Jamie Feick,8.2,.091,-2.7,-0.7,201,4316,5
1996,49,Amal McCaskill,0.5,.024,-4.7,-0.7,114,968,4
1996,50,Terrell Bell,,,,,,,
1996,51,Chris Robinson,-0.1,-.003,-4.0,-0.6,76,1095,2
1996,52,Mark Pope,1.3,.038,-4.3,-0.9,153,1634,6
1996,53,Jeff Nordgaard,0.0,.043,-3.7,0.0,13,48,1
1996,54,Shandon Anderson,23.6,.071,-1.3,3.0,719,15946,10
1996,55,Ronnie Henderson,,,,,,,
1996,56,Reggie Geary,0.6,.032,-2.5,-0.1,101,931,2
1996,57,Drew Barry,0.6,.051,-3.5,-0.2,60,598,3
1996,58,Darnell Robinson,,,,,,,
1997,1,Tim Duncan,206.4,.209,5.6,91.1,1392,47368,19
1997,2,Keith Van Horn,41.7,.110,0.1,9.6,575,18150,9
1997,3,Chauncey Billups,120.8,.176,3.2,43.5,1043,33008,17
1997,4,Antonio Daniels,47.0,.115,0.0,10.1,872,19671,13
1997,5,Tony Battie,36.4,.099,-1.8,0.8,837,17649,14
1997,6,Ron Mercer,9.4,.034,-2.7,-2.5,432,13418,8
1997,7,Tim Thomas,35.2,.079,-0.8,6.4,824,21336,13
1997,8,Adonal Foyle,18.7,.069,-1.7,1.1,733,13060,12
1997,9,Tracy McGrady,97.3,.152,5.2,55.7,938,30658,15
1997,10,Danny Fortson,22.3,.121,-3.2,-2.6,440,8832,10
1997,11,Tariq Abdul-Wahad,3.5,.035,-3.0,-1.2,236,4807,6
1997,12,Austin Croshere,27.6,.115,-0.1,5.6,659,11480,12
1997,13,Derek Anderson,43.9,.117,1.0,13.5,615,17975,11
1997,14,Maurice Taylor,9.9,.036,-3.6,-5.3,534,13324,9
1997,15,Kelvin Cato,28.6,.129,-0.3,4.4,541,10617,10
1997,16,Brevin Knight,32.6,.086,0.3,10.5,729,18176,12
1997,17,Johnny Taylor,0.1,.007,-4.0,-0.4,54,866,3
1997,18,Chris Anstey,2.8,.062,-2.9,-0.5,155,2157,3
1997,19,Scot Pollard,26.6,.153,-0.6,2.9,506,8372,11
1997,20,Paul Grant,-0.1,-.043,-8.7,-0.2,16,111,2
1997,21,Anthony Parker,24.5,.085,-0.2,6.1,494,13752,9
1997,22,Ed Gray,0.1,.009,-4.0,-0.4,60,809,2
1997,23,Bobby Jackson,31.4,.090,0.4,10.0,755,16790,12
1997,24,Rodrick Rhodes,-1.6,-.064,-6.3,-1.3,72,1234,3
1997,25,John Thomas,3.2,.067,-4.4,-1.4,208,2253,5
1997,26,Charles Smith,1.5,.036,-1.1,0.4,142,1973,5
1997,27,Jacque Vaughn,15.4,.058,-3.4,-4.5,776,12658,12
1997,28,Keith Booth,-0.8,-.080,-6.1,-0.5,45,449,2
1997,29,Serge Zwikker,,,,,,,
1997,30,Mark Sanford,,,,,,,
1997,31,Charles O'Bannon,0.6,.070,-2.0,0.0,48,399,2
1997,32,James Cotton,0.0,.008,-6.6,-0.1,19,92,2
1997,33,Marko Milic,0.2,.047,-2.4,0.0,44,216,2
1997,34,Bubba Wells,0.1,.013,-3.5,-0.2,39,395,1
1997,35,Kebu Stewart,0.2,.098,-1.4,0.0,15,110,1
1997,36,James Collins,0.0,.008,-1.0,0.0,23,103,1
1997,37,Marc Jackson,13.0,.082,-2.7,-1.4,387,7572,7
1997,38,Jerald Honeycutt,0.3,.020,-3.3,-0.2,54,632,2
1997,39,Anthony Johnson,23.2,.072,-1.5,2.0,793,15552,13
1997,40,Eddie Elisma,,,,,,,
1997,41,Jason Lawson,0.5,.280,4.8,0.1,17,80,1
1997,42,Stephen Jackson,36.1,.063,-0.4,11.2,858,27398,14
1997,43,Gordon Malone,,,,,,,
1997,44,Cedric Henderson,3.3,.026,-2.8,-1.3,260,6182,5
1997,45,God Shammgod,-0.1,-.049,-6.2,-0.2,20,146,1
1997,46,Eric Washington,0.1,.002,-3.5,-0.9,104,2300,2
1997,47,Alvin Williams,21.7,.082,-0.4,4.9,460,12610,9
1997,48,Predrag Drobnjak,5.6,.048,-3.0,-1.3,278,5542,4
1997,49,Alain Digbeau,,,,,,,
1997,50,Chris Crawford,6.5,.078,-2.6,-0.6,252,3985,7
1997,51,DeJuan Wheat,0.5,.034,-1.9,0.0,80,740,2
1997,52,C.J. Bruton,,,,,,,
1997,53,Paul Rogers,,,,,,,
1997,54,Mark Blount,18.8,.065,-2.7,-2.5,605,13981,9
1997,55,Ben Pepper,,,,,,,
1997,56,Nate Erdmann,,,,,,,
1997,57,Roberto Duenas,,,,,,,
1998,1,Michael Olowokandi,2.5,.009,-4.6,-8.5,500,13129,9
1998,2,Mike Bibby,73.2,.104,0.8,23.8,1001,33962,14
1998,3,Raef LaFrentz,39.4,.130,0.7,9.8,563,14545,10
1998,4,Antawn Jamison,87.8,.112,0.6,24.5,1083,37638,16
1998,5,Vince Carter,125.3,.130,3.0,57.9,1541,46367,22
1998,6,Robert Traylor,13.3,.102,-1.6,0.7,438,6243,7
1998,7,Jason Williams,38.5,.080,0.2,12.9,788,23188,12
1998,8,Larry Hughes,32.3,.069,-0.1,10.7,727,22368,13
1998,9,Dirk Nowitzki,206.3,.193,4.5,84.8,1522,51368,21
1998,10,Paul Pierce,150.0,.157,3.7,65.5,1343,45880,19
1998,11,Bonzi Wells,29.4,.093,0.2,8.3,591,15133,10
1998,12,Michael Doleac,12.7,.070,-3.7,-3.7,587,8789,10
1998,13,Keon Clark,18.2,.110,-0.7,2.6,353,7971,6
1998,14,Michael Dickerson,9.6,.061,-1.3,1.3,212,7490,5
1998,15,Matt Harpring,41.9,.114,-0.6,6.2,665,17584,11
1998,16,Bryce Drew,2.4,.030,-3.1,-1.1,243,3970,6
1998,17,Rasho Nesterovic,39.9,.107,-0.9,5.0,811,17983,12
1998,18,Mirsad Turkcan,0.0,-.019,-6.3,-0.1,17,90,1
1998,19,Pat Garrity,18.7,.081,-1.8,0.5,552,11062,10
1998,20,Roshown McLeod,0.2,.004,-4.4,-1.3,113,2130,3
1998,21,Ricky Davis,28.0,.061,-0.8,6.3,736,21927,12
1998,22,Brian Skinner,15.8,.070,-2.5,-1.5,608,10910,14
1998,23,Tyronn Lue,19.7,.075,-1.8,0.6,554,12564,11
1998,24,Felipe Lopez,3.1,.036,-2.5,-0.5,249,4145,4
1998,25,Al Harrington,42.5,.073,-1.5,3.7,981,28009,16
1998,26,Sam Jacobson,1.1,.071,-3.9,-0.4,68,752,3
1998,27,Vladimir Stepania,5.2,.067,-3.3,-1.2,270,3726,6
1998,28,Corey Benjamin,-0.9,-.019,-4.8,-1.6,153,2191,4
1998,29,Nazr Mohammed,34.3,.104,-2.6,-2.2,1005,15891,18
1998,30,Ansu Sesay,1.4,.051,-3.3,-0.4,127,1301,4
1998,31,Ruben Patterson,35.1,.106,0.7,10.8,649,15955,10
1998,32,Rashard Lewis,90.9,.130,1.9,33.1,1049,33541,16
1998,33,Jelani McCoy,5.1,.064,-2.9,-0.9,260,3824,8
1998,34,Shammond Williams,8.8,.079,-0.7,1.7,325,5351,7
1998,35,Bruno Sundov,-0.7,-.062,-8.9,-0.9,102,524,7
1998,36,Jerome James,2.9,.029,-4.9,-3.5,358,4771,9
1998,37,Casey Shaw,-0.1,-.498,-29.8,-0.1,9,14,1
1998,38,DeMarco Johnson,-0.1,-.091,-10.3,-0.1,5,37,1
1998,39,Rafer Alston,32.9,.081,0.0,9.6,671,19392,11
1998,40,Korleone Young,0.1,.280,9.4,0.0,3,15,1
1998,41,Cuttino Mobley,52.2,.091,-0.1,12.9,747,27618,11
1998,42,Miles Simon,-0.1,-.289,-17.4,-0.1,5,19,1
1998,43,Jahidi White,10.4,.085,-3.2,-1.8,334,5913,7
1998,44,Sean Marks,2.6,.055,-5.0,-1.7,230,2275,11
1998,45,Toby Bailey,1.0,.072,-3.5,-0.3,73,698,2
1998,46,Andrae Patterson,0.7,.114,-1.9,0.0,40,304,2
1998,47,Tyson Wheeler,0.1,1.367,51.1,0.0,1,3,1
1998,48,Ryan Stack,0.2,.028,-6.7,-0.5,43,397,2
1998,49,Cory Carr,-1.2,-.089,-8.2,-1.0,42,624,1
1998,50,Andrew Betts,,,,,,,
1998,51,Corey Brewer,,,,,,,
1998,52,Derrick Dial,0.6,.045,-2.2,0.0,82,687,4
1998,53,Greg Buckner,20.9,.092,-0.9,3.0,570,10895,10
1998,54,Tremaine Fowlkes,2.1,.080,-2.0,0.0,103,1233,4
1998,55,Ryan Bowen,12.4,.092,-0.8,2.0,507,6502,10
1998,56,J.R. Henderson,-0.2,-.025,-4.8,-0.2,30,331,1
1998,57,Torraye Braggs,0.3,.071,-4.9,-0.1,22,178,2
1998,58,Maceo Baston,2.3,.134,-1.2,0.2,105,831,4
1999,1,Elton Brand,109.6,.151,2.2,37.3,1058,34910,17
1999,2,Steve Francis,54.1,.120,2.2,22.7,576,21632,9
1999,3,Baron Davis,63.1,.106,2.6,33.1,835,28592,13
1999,4,Lamar Odom,77.0,.115,1.9,31.4,961,32131,14
1999,5,Jonathan Bender,3.8,.047,-2.6,-0.6,262,3847,8
1999,6,Wally Szczerbiak,53.3,.127,0.7,13.6,651,20052,10
1999,7,Richard Hamilton,62.8,.102,-0.2,13.2,921,29559,14
1999,8,Andre Miller,100.8,.120,1.3,33.4,1304,40268,17
1999,9,Shawn Marion,124.9,.150,2.7,47.6,1163,40097,16
1999,10,Jason Terry,102.0,.116,1.5,37.4,1410,42034,19
1999,11,Trajan Langdon,2.9,.079,-1.1,0.4,119,1738,3
1999,12,Aleksandar Radojevic,-0.4,-.130,-11.6,-0.4,15,152,2
1999,13,Corey Maggette,62.2,.128,0.3,13.3,827,23358,14
1999,14,William Avery,-0.9,-.034,-5.6,-1.1,142,1205,3
1999,15,Frederic Weis,,,,,,,
1999,16,Metta World Peace,61.1,.093,1.2,25.4,991,31440,17
1999,17,Cal Bowdler,1.8,.061,-3.2,-0.4,142,1383,3
1999,18,James Posey,51.6,.107,0.3,13.7,864,23260,12
1999,19,Quincy Lewis,0.8,.020,-4.9,-1.4,159,1853,4
1999,20,Dion Glover,5.8,.045,-1.8,0.3,294,6132,6
1999,21,Jeff Foster,47.5,.145,-0.4,6.3,764,15750,13
1999,22,Kenny Thomas,31.2,.086,-1.3,3.1,632,17306,11
1999,23,Devean George,18.2,.075,-1.5,1.4,630,11682,11
1999,24,Andrei Kirilenko,75.4,.151,4.9,41.7,797,23916,13
1999,25,Tim James,0.0,-.003,-7.0,-0.3,43,261,3
1999,26,Vonteego Cummings,2.2,.028,-2.4,-0.3,199,3789,3
1999,27,Jumaine Jones,15.1,.074,-1.2,2.1,471,9780,8
1999,28,Scott Padgett,13.2,.113,-0.4,2.3,448,5613,8
1999,29,Leon Smith,0.2,.112,-2.9,0.0,15,104,2
1999,30,John Celestand,-0.1,-.038,-7.6,-0.3,16,185,1
1999,31,Rico Hill,,,,,,,
1999,32,Michael Ruffin,6.8,.055,-3.3,-2.0,414,5966,9
1999,33,Chris Herren,0.5,.025,-4.5,-0.6,70,1005,2
1999,34,Evan Eschmeyer,4.0,.090,-3.0,-0.5,153,2138,4
1999,35,Calvin Booth,8.0,.086,-1.8,0.3,366,4477,10
1999,36,Wang Zhi-zhi,2.1,.078,-1.6,0.1,137,1256,5
1999,37,Obinna Ekezie,1.7,.054,-5.4,-1.3,143,1516,4
1999,38,Laron Profit,0.7,.021,-2.1,0.0,135,1537,4
1999,39,A.J. Bramlett,-0.2,-.129,-15.9,-0.2,8,61,1
1999,40,Gordan Giricek,8.0,.044,-2.5,-1.1,384,8824,6
1999,41,Francisco Elson,11.7,.078,-2.7,-1.3,472,7207,9
1999,42,Louis Bullock,,,,,,,
1999,43,Lee Nailon,8.0,.066,-2.0,0.0,306,5820,6
1999,44,Tyrone Washington,,,,,,,
1999,45,Ryan Robertson,0.0,-.022,-5.4,0.0,1,25,1
1999,46,J.R. Koch,,,,,,,
1999,47,Todd MacCulloch,11.9,.166,0.3,2.0,223,3439,4
1999,48,Galen Young,,,,,,,
1999,49,Lari Ketner,0.0,-.015,-7.4,-0.2,25,139,2
1999,50,Venson Hamilton,,,,,,,
1999,51,Antwain Smith,,,,,,,
1999,52,Roberto Bergersen,,,,,,,
1999,53,Rodney Buford,2.9,.033,-3.8,-1.9,230,4182,5
1999,54,Melvin Levett,,,,,,,
1999,55,Kris Clack,,,,,,,
1999,56,Tim Young,0.2,.058,-4.9,-0.1,25,137,1
1999,57,Manu Ginobili,106.4,.190,5.0,47.6,1057,26859,16
1999,58,Eddie Lucas,,,,,,,
2000,1,Kenyon Martin,48.0,.100,0.1,12.1,757,23134,15
2000,2,Stromile Swift,21.3,.095,-1.6,1.1,547,10804,9
2000,3,Darius Miles,9.5,.039,-1.0,3.0,446,11730,7
2000,4,Marcus Fizer,2.7,.022,-3.7,-2.6,289,6032,6
2000,5,Mike Miller,60.7,.105,0.8,19.8,1032,27812,17
2000,6,DerMarr Johnson,6.4,.052,-1.6,0.6,344,5930,7
2000,7,Chris Mihm,13.3,.073,-3.9,-4.3,436,8758,8
2000,8,Jamal Crawford,60.7,.075,-0.1,18.4,1327,38994,20
2000,9,Joel Przybilla,23.0,.094,-1.7,0.8,592,11733,13
2000,10,Keyon Dooling,18.5,.063,-2.0,-0.2,728,14134,13
2000,11,Jerome Moiso,2.1,.074,-2.9,-0.3,145,1392,5
2000,12,Etan Thomas,14.9,.101,-2.1,-0.2,409,7084,9
2000,13,Courtney Alexander,4.1,.048,-3.7,-1.7,187,4067,3
2000,14,Mateen Cleaves,-0.8,-.021,-5.6,-1.7,167,1863,6
2000,15,Jason Collier,1.9,.042,-5.4,-1.9,151,2178,5
2000,16,Hedo Turkoglu,63.3,.114,0.9,19.6,997,26695,15
2000,17,Desmond Mason,23.1,.056,-2.4,-2.1,643,19641,10
2000,18,Quentin Richardson,32.8,.076,-0.4,8.5,783,20785,13
2000,19,Jamaal Magloire,27.7,.091,-2.9,-3.1,680,14621,12
2000,20,Speedy Claxton,14.2,.080,-0.3,3.6,334,8548,7
2000,21,Morris Peterson,35.7,.089,-0.4,7.6,711,19366,11
2000,22,Donnell Harvey,4.7,.069,-2.6,-0.5,205,3318,5
2000,23,DeShawn Stevenson,12.1,.032,-2.7,-3.5,824,18396,13
2000,24,Dalibor Bagaric,-0.9,-.043,-7.9,-1.5,95,973,3
2000,25,Jake Tsakalidis,9.9,.095,-3.1,-1.4,315,5005,7
2000,26,Mamadou N'diaye,1.8,.101,-4.2,-0.5,69,858,5
2000,27,Primoz Brezec,10.8,.084,-3.1,-1.7,342,6192,8
2000,28,Erick Barkley,0.2,.027,-3.7,-0.1,27,266,2
2000,29,Mark Madsen,8.2,.074,-4.1,-2.9,453,5335,9
2000,30,Marko Jaric,12.1,.052,-0.7,3.8,447,11246,7
2000,31,Dan Langhi,0.3,.012,-4.6,-0.8,133,1253,4
2000,32,A.J. Guyton,0.3,.010,-2.9,-0.3,80,1246,3
2000,33,Jake Voskuhl,11.6,.087,-3.8,-3.0,450,6443,9
2000,34,Khalid El-Amin,0.6,.030,-2.4,-0.1,50,936,1
2000,35,Mike Smith,-0.1,-.033,-4.2,-0.1,17,180,1
2000,36,Soumaila Samake,0.3,.046,-3.7,-0.1,47,303,2
2000,37,Eddie House,20.0,.077,0.0,6.1,717,12405,11
2000,38,Eduardo Najera,24.7,.106,-0.9,3.0,619,11213,12
2000,39,Lavor Postell,-0.2,-.025,-5.0,-0.3,61,446,3
2000,40,Hanno Mottola,0.9,.019,-5.9,-2.3,155,2360,2
2000,41,Chris Carrawell,,,,,,,
2000,42,Olumide Oyedeji,1.2,.095,-4.3,-0.3,93,587,3
2000,43,Michael Redd,55.9,.134,2.2,21.4,629,20104,12
2000,44,Brian Cardinal,15.4,.114,-0.1,3.2,456,6477,12
2000,45,Jabari Smith,1.3,.058,-4.3,-0.6,108,1063,4
2000,46,DeeAndre Hulett,,,,,,,
2000,47,Josip Sesar,,,,,,,
2000,48,Mark Karcher,,,,,,,
2000,49,Jason Hart,8.6,.078,-1.2,1.0,341,5289,9
2000,50,Kaniel Dickens,0.1,.055,-3.0,0.0,19,85,3
2000,51,Igor Rakocevic,0.1,.022,-4.9,-0.2,42,244,1
2000,52,Ernest Brown,-0.2,-.349,-18.2,-0.1,3,21,1
2000,53,Dan McClintock,0.0,.007,-7.9,-0.1,6,58,1
2000,54,Cory Hightower,,,,,,,
2000,55,Chris Porter,0.2,.008,-4.5,-0.7,51,1147,1
2000,56,Jaquay Walls,,,,,,,
2000,57,Scoonie Penn,,,,,,,
2000,58,Pete Mickeal,,,,,,,
2001,1,Kwame Brown,20.8,.074,-2.4,-1.3,607,13389,12
2001,2,Tyson Chandler,102.1,.155,0.1,16.9,1160,31617,19
2001,3,Pau Gasol,144.1,.169,3.6,57.5,1226,41001,18
2001,4,Eddy Curry,21.7,.080,-2.4,-1.3,527,13109,11
2001,5,Jason Richardson,59.1,.097,1.2,23.8,857,29241,13
2001,6,Shane Battier,75.7,.121,1.7,28.2,977,30004,13
2001,7,Eddie Griffin,10.9,.078,-0.4,2.8,303,6729,5
2001,8,DeSagana Diop,12.8,.073,-1.9,0.2,601,8403,12
2001,9,Rodney White,1.8,.026,-2.2,-0.1,218,3354,4
2001,10,Joe Johnson,82.9,.090,0.4,26.5,1277,44236,18
2001,11,Kedrick Brown,3.0,.074,-1.1,0.4,143,1935,4
2001,12,Vladimir Radmanovic,26.5,.079,-0.1,7.6,737,16164,12
2001,13,Richard Jefferson,83.0,.116,0.2,19.4,1181,34293,17
2001,14,Troy Murphy,50.3,.121,0.1,10.6,729,19921,12
2001,15,Steven Hunter,10.6,.085,-2.3,-0.5,400,5993,8
2001,16,Kirk Haston,-0.5,-.197,-13.3,-0.4,27,134,2
2001,17,Michael Bradley,2.0,.047,-4.0,-1.0,173,2016,5
2001,18,Jason Collins,20.1,.064,-3.7,-6.5,735,14974,13
2001,19,Zach Randolph,81.1,.112,0.2,18.8,1116,34616,17
2001,20,Brendan Haywood,43.8,.113,-1.4,2.9,816,18680,13
2001,21,Joseph Forte,-0.4,-.166,-8.6,-0.2,25,125,2
2001,22,Jeryl Sasser,0.7,.032,-2.5,-0.1,82,1061,2
2001,23,Brandon Armstrong,-0.6,-.039,-8.0,-1.0,108,699,3
2001,24,Raul Lopez,2.1,.047,-2.4,-0.2,113,2135,2
2001,25,Gerald Wallace,59.7,.116,1.8,23.5,832,24731,14
2001,26,Samuel Dalembert,51.3,.114,-1.1,4.6,886,21646,13
2001,27,Jamaal Tinsley,17.2,.057,0.0,7.1,547,14443,11
2001,28,Tony Parker,111.3,.140,1.1,30.1,1254,38279,18
2001,29,Trenton Hassell,13.8,.041,-2.9,-3.7,644,16278,9
2001,30,Gilbert Arenas,51.3,.127,2.6,22.3,552,19351,11
2001,31,Omar Cook,-0.1,-.021,-2.7,0.0,22,213,2
2001,32,Will Solomon,0.0,.000,-3.3,-0.5,115,1584,2
2001,33,Terence Morris,1.0,.025,-2.8,-0.4,139,1934,3
2001,34,Brian Scalabrine,7.6,.054,-2.7,-1.2,520,6772,11
2001,35,Jeff Trepagnier,-0.2,-.038,-2.8,-0.1,31,270,3
2001,36,Damone Brown,-0.7,-.100,-8.6,-0.6,39,351,4
2001,37,Mehmet Okur,54.7,.142,1.1,14.5,634,18429,10
2001,38,Michael Wright,,,,,,,
2001,39,Earl Watson,19.2,.047,-1.4,2.8,878,19494,13
2001,40,Jamison Brewer,0.0,-.001,-2.4,0.0,54,468,4
2001,41,Bobby Simmons,20.1,.084,-0.7,3.6,466,11513,10
2001,42,Eric Chenowith,,,,,,,
2001,43,Kyle Hill,,,,,,,
2001,44,Sean Lampley,1.1,.096,-1.7,0.0,45,550,2
2001,45,Loren Woods,3.1,.062,-2.5,-0.3,215,2428,6
2001,46,Ousmane Cisse,,,,,,,
2001,47,Antonis Fotsis,0.1,.017,-3.4,-0.1,28,320,1
2001,48,Ken Johnson,0.0,-.002,-6.8,-0.2,16,156,1
2001,49,Ruben Boumtje-Boumtje,0.2,.027,-5.4,-0.2,44,276,3
2001,50,Alton Ford,0.8,.074,-6.4,-0.6,73,524,3
2001,51,Andre Hutson,,,,,,,
2001,52,Jarron Collins,15.7,.088,-3.1,-2.5,542,8542,10
2001,53,Kenny Satterfield,-1.1,-.051,-4.1,-0.6,75,1062,2
2001,54,Maurice Jeffers,,,,,,,
2001,55,Robertas Javtokas,,,,,,,
2001,56,Alvin Jones,0.1,.034,-8.7,-0.2,23,126,1
2001,57,Bryan Bracey,,,,,,,
2002,1,Yao Ming,65.9,.200,3.2,20.7,486,15818,8
2002,2,Jay Williams,0.8,.020,-2.0,0.0,75,1961,1
2002,3,Mike Dunleavy,58.5,.103,0.3,15.7,986,27340,15
2002,4,Drew Gooden,43.9,.105,-1.2,4.3,790,20127,14
2002,5,Nikoloz Tskitishvili,-1.6,-.039,-6.1,-2.0,172,1946,4
2002,6,Dajuan Wagner,0.0,.000,-4.9,-1.6,103,2202,4
2002,7,Nene,73.3,.139,1.0,18.8,965,25237,17
2002,8,Chris Wilcox,26.9,.103,-1.6,1.2,628,12474,11
2002,9,Amar'e Stoudemire,92.5,.169,1.3,21.9,846,26254,14
2002,10,Caron Butler,50.9,.086,-0.2,12.6,881,28333,14
2002,11,Jared Jeffries,13.1,.046,-2.4,-1.5,629,13579,11
2002,12,Melvin Ely,4.0,.032,-4.0,-3.1,375,6005,9
2002,13,Marcus Haislip,0.5,.026,-4.7,-0.6,89,854,4
2002,14,Fred Jones,16.5,.077,-1.0,2.6,430,10299,7
2002,15,Bostjan Nachbar,8.7,.074,-1.6,0.6,317,5628,6
2002,16,Jiri Welsch,5.7,.059,-1.9,0.1,247,4596,4
2002,17,Juan Dixon,6.1,.034,-2.1,-0.3,436,8509,7
2002,18,Curtis Borchardt,1.0,.041,-3.8,-0.5,83,1117,2
2002,19,Ryan Humphrey,-0.4,-.027,-8.1,-1.2,85,772,3
2002,20,Kareem Rush,1.7,.013,-3.2,-1.8,346,5956,7
2002,21,Qyntel Woods,1.4,.032,-2.7,-0.4,167,2060,4
2002,22,Casey Jacobsen,6.2,.056,-2.2,-0.3,287,5320,4
2002,23,Tayshaun Prince,63.1,.096,0.3,18.0,1017,31576,14
2002,24,Nenad Krstic,21.5,.098,-2.6,-1.5,419,10547,7
2002,25,Frank Williams,0.1,.003,-3.2,-0.3,86,952,3
2002,26,John Salmons,33.9,.069,-0.9,6.7,895,23672,13
2002,27,Chris Jefferies,-0.5,-.030,-5.5,-0.8,72,861,2
2002,28,Dan Dickau,5.9,.061,-1.5,0.6,300,4617,6
2002,29,Steve Logan,,,,,,,
2002,30,Roger Mason Jr.,13.0,.068,-1.4,1.4,518,9147,10
2002,31,Robert Archibald,0.0,-.004,-6.1,-0.3,44,328,2
2002,32,Vincent Yarbrough,1.0,.035,-2.4,-0.1,59,1381,1
2002,33,Dan Gadzuric,15.8,.097,-2.3,-0.7,527,7793,10
2002,34,Carlos Boozer,80.3,.143,1.4,23.1,861,26901,13
2002,35,Milos Vujanic,,,,,,,
2002,36,David Andersen,1.5,.059,-2.9,-0.3,103,1264,2
2002,37,Tito Maddox,0.0,-.011,-1.4,0.0,9,35,1
2002,38,Rod Grizzard,,,,,,,
2002,39,Juan Carlos Navarro,1.4,.031,-2.3,-0.2,82,2117,1
2002,40,Mario Kasun,0.8,.069,-7.0,-0.7,73,569,2
2002,41,Flip Murray,8.5,.037,-2.2,-0.5,487,11077,8
2002,42,Jason Jennings,,,,,,,
2002,43,Lonny Baxter,2.9,.075,-4.6,-1.2,162,1884,4
2002,44,Sam Clancy,,,,,,,
2002,45,Matt Barnes,42.8,.093,-0.1,10.7,929,21967,14
2002,46,Jamal Sampson,1.4,.106,-2.3,-0.1,72,631,5
2002,47,Chris Owens,0.0,-.032,-0.5,0.0,1,6,1
2002,48,Peter Fehse,,,,,,,
2002,49,Darius Songaila,15.9,.083,-2.1,-0.2,495,9229,8
2002,50,Federico Kammerichs,,,,,,,
2002,51,Marcus Taylor,,,,,,,
2002,52,Rasual Butler,20.8,.058,-1.4,2.6,809,17219,13
2002,53,Tamar Slay,-0.3,-.029,-5.7,-0.5,66,517,3
2002,54,Mladen Sekularac,,,,,,,
2002,55,Luis Scola,45.7,.115,-0.7,6.4,743,19001,10
2002,56,Randy Holcomb,0.0,.150,-1.7,0.0,4,11,1
2002,57,Corsley Edwards,0.1,.026,-6.2,-0.1,10,110,1
2003,1,LeBron James,276.8,.218,8.4,159.4,1622,61030,23
2003,2,Darko Milicic,7.1,.040,-2.4,-0.9,468,8638,10
2003,3,Carmelo Anthony,108.5,.120,1.3,36.7,1260,43514,19
2003,4,Chris Bosh,106.0,.159,1.9,31.1,893,31936,13
2003,5,Dwyane Wade,120.7,.162,5.0,62.8,1054,35773,16
2003,6,Chris Kaman,24.6,.060,-1.9,0.4,735,19642,13
2003,7,Kirk Hinrich,52.5,.093,0.0,13.3,879,27015,13
2003,8,T.J. Ford,16.9,.068,-0.4,4.6,429,11882,8
2003,9,Michael Sweetney,7.8,.103,-2.7,-0.6,233,3610,4
2003,10,Jarvis Hayes,10.2,.049,-2.5,-1.3,427,9898,7
2003,11,Mickael Pietrus,19.7,.079,-0.9,3.2,557,11950,10
2003,12,Nick Collison,44.5,.115,-1.3,3.1,910,18603,14
2003,13,Marcus Banks,6.6,.057,-2.0,-0.1,348,5571,8
2003,14,Luke Ridnour,36.0,.080,-0.6,7.5,830,21623,12
2003,15,Reece Gaines,-0.6,-.049,-6.1,-0.6,71,605,3
2003,16,Troy Bell,-0.2,-.326,-19.6,-0.2,6,34,1
2003,17,Zarko Cabarkapa,1.1,.035,-3.9,-0.7,150,1550,3
2003,18,David West,85.8,.141,1.7,27.6,1034,29144,15
2003,19,Sasha Pavlovic,7.0,.038,-3.4,-3.1,567,8888,10
2003,20,Dahntay Jones,9.9,.048,-3.7,-4.1,624,9799,13
