year,result_position,team,representative,rep_title,record_w,record_l,odds_pct,chances,seed_delta,pre_lottery_seed,player_picked
2011,4,Cleveland,Nick Gilbert,Son of Cavs Owner,19,63,19.9,199,-2,2,Tristan Thompson
2011,5,Toronto,Bryan Colangelo,President/GM,22,60,15.6,156,-2,3,Jonas Valanciunas
2011,6,Washington,John Wall,NBA Player,23,59,11.9,119,-2,4,Jan Vesely
2011,7,Sacramento,Kevin Johnson,Mayor of Sacramento,24,58,7.6,76,-2,5,Bismack Biyombo
2011,8,Detroit,Greg Monroe,NBA Player,30,52,4.3,43,-1,7,Brandon Knight
2011,9,Charlotte,Paul Silas,Head Coach,34,48,1.7,17,0,9,Kemba Walker
2011,10,Milwaukee,John Hammond,General Manager,35,47,1.1,11,0,10,Jimmer Fredette
2011,11,Golden State,Joe Lacob,Owner,36,46,0.8,8,0,11,Klay Thompson
2011,12,Utah,Kevin O'Connor,General Manager,39,43,0.7,7,0,12,Alec Burks
2011,13,Phoenix,Mark West,VP of Player Programs,40,42,0.6,6,0,13,Markieff Morris
2011,14,Houston,Kyle Lowry,NBA Player,43,39,0.5,5,0,14,Marcus Morris
2012,1,New Orleans,Monty Williams,Head Coach,21,45,13.7,137,3,4,Anthony Davis
2012,2,Charlotte,Rich Cho,General Manger,7,59,25.0,250,-1,1,Michael Kidd-Gilchrist
2012,3,Washington,Zach Leonsis,Owner,20,46,19.9,199,-1,2,Bradley Beal
2012,4,Cleveland,Nick Gilbert,Son of Cavs Owner,21,45,13.8,138,-1,3,Dion Waiters
2012,5,Sacramento,Andrienne Maloof,Owner,22,44,7.6,76,0,5,Thomas Robinson
2012,6,New Jersey,Irina Pavlova,President of Onexism,22,44,7.5,75,0,6,Damian Lillard
2012,7,Golden State,Bob Myers,General Manager,23,43,3.6,36,0,7,Harrison Barnes
2012,8,Toronto,Dawyne Casey,Head Coach,23,43,3.5,35,0,8,Terrence Ross
2012,9,Detroit,Brandin Knight,NBA Player,25,41,1.7,17,0,9,Andre Drummond
2012,10,Minnesota*,Monty Williams,Head Coach,26,40,1.1,11,0,10,Austin Rivers
2012,11,Portland,Welsey Matthews,NBA Player,28,38,0.8,8,0,11,Meyers Leonard
2012,12,Milwaukee,John Hammond,General Manager,31,35,0.7,7,0,12,Jeremy Lamb
2012,13,Phoenix,Mark West,VP of Player Programs,33,33,0.6,6,0,13,Kendall Marshall
2012,14,Houston,Chandler Parsons,NBA Player,34,32,0.5,5,0,14,John Henson
2013,1,Cleveland,Nick Gilbert,Cavs Owner Son,24,58,15.6,156,2,3,Anthony Bennett
2013,2,Orlando,Pat Williams,SR VP of Basketball Operations,20,62,25.0,250,-1,1,Victor Oladipo
2013,3,Washington,Brad Beal,NBA Player,29,53,3.5,35,5,8,Otto Porter
2013,4,Charlotte,Fred Whitfield,President/Chief Operation Officer,21,61,19.9,199,-2,2,Cody Zeller
2013,5,Phoenix,Lon Baby,President of Basketball Operations,25,57,11.9,119,-1,4,Alex Len
2013,6,New Orleans,Monty Williams,Head Coach,27,55,8.8,88,-1,5,Nerlens Noel
2013,7,Sacramento,Keith Smart,Head Coach,28,54,6.3,63,-1,6,Ben McLemore
2013,8,Detroit,Andre Drummond,NBA Player,29,53,3.6,36,-1,7,Kentavious Caldwell-Pope
2013,9,Minnesota,Kevin Love,NBA Player,31,51,1.7,17,0,9,Trey Burke
2013,10,Portland,Dame Lillard,NBA Player,33,49,1.1,11,0,10,C.J. McCollum
2013,11,Philadelphia,Joshua Harris,Managing Owner,34,48,0.8,8,0,11,Michael Carter-Williams
2013,12,Toronto,Bryan Colangelo,President/Chief Operation Officer,34,48,0.7,7,0,12,Steven Adams
2013,13,Dallas,Donnie Nelson,President/GM,41,41,0.6,6,0,13,Kelly Olynyk
2013,14,Utah,Randy Rigby,President,43,39,0.5,5,0,14,Shabazz Muhammad
2014,1,Cleveland,David Griffin,General Manager,33,49,1.7,17,8,9,Andrew Wiggins
2014,2,Milwaukee,Mallory Edens,Daughter of Co-Owner,15,67,25.0,250,-1,1,Jabari Parker
2014,3,Philadelphia,Julius Erving,Strategic Advisor,19,63,19.9,199,-1,2,Joel Embiid
2014,4,Orlando,Pat Williams,SR VP of Basketball Operations,23,59,15.6,156,-1,3,Aaron Gordon
2014,5,Utah,Bryan Miller,Son of Jazz Owner,25,57,10.4,104,-1,4,Dante Exum
2014,6,Boston,Stephen Pagliuca,Co-Owner,25,57,10.3,103,-1,5,Marcus Smart
2014,7,L.A. Lakers,James Worthy,Lakers Alumni,27,55,6.3,63,-1,6,Julius Randle
2014,8,Sacramento,Anjali Ranadive,Daughter of Kings Owner,28,54,4.3,43,-1,7,Nik Stauskas
2014,9,Detroit,Kyle Singler,NBA Player,29,53,2.8,28,-1,8,Noah Vonleh
2014,10,New Orleans,Dell Demps,SR VP of Basketball Operations/GM,34,48,1.1,11,0,10,Elfrid Payton
2014,11,Denver,Brian Shaw,Head Coach,36,46,0.8,8,0,11,Doug McDermott
2014,12,New York*,Pat Williams,SR VP of Basketball Operations,37,45,0.7,7,0,12,Dario Saric
2014,13,Minnesota,Milton Newton,General Manager,40,42,0.6,6,0,13,Zach LaVine
2014,14,Phoenix,Markieff Morris,NBA Player,48,34,0.5,5,0,14,T.J. Warren
2015,1,Minnesota,Glen Taylor,Owner,16,66,25.0,250,0,1,Karl-Anthony Towns
2015,2,L.A. Lakers,Byron Scott,Head Coach,21,61,11.9,119,2,4,D'Angelo Russell
2015,3,Philadelphia,Nerlens Noel,NBA Player,18,64,15.6,156,0,3,Jahlil Okafor
2015,4,New York,Steve Mills,General Manager,17,65,19.9,199,-2,2,Kristaps Porzingis
2015,5,Orlando,Alex Martins,CEO,25,57,8.8,88,0,5,Mario Hezonja
2015,6,Sacramento,Vlade Divac,VP Basketball & Franchise Operations,29,53,6.3,63,0,6,Willie Cauley-Stein
2015,7,Denver,Josh Kroenke,President,30,52,4.3,43,0,7,Emmanuel Mudiay
2015,8,Detroit,Jeff Bower,General Manager,32,50,2.8,28,0,8,Stanley Johnson
2015,9,Charlotte,Michael Kidd-Gilchrist,NBA Player,33,49,1.7,17,0,9,Frank Kaminsky
2015,10,Miami,Alonzo Mourning,VP of Player Programs,37,45,1.1,11,0,10,Justise Winslow
2015,11,Indiana,Larry Bird,President of Basketball Operations,38,44,0.8,8,0,11,Myles Turner
2015,12,Utah,Dennis Lindsey,General Manager,38,44,0.7,7,0,12,Trey Lyles
2015,13,Phoenix,Alex Len,NBA Player,39,43,0.6,6,0,13,Devin Booker
2015,14,Oklahoma City,Russell Westbrook,NBA Player,45,37,0.5,5,0,14,Cameron Payne
2016,1,Philadelphia,Brett Brown,Head Coach,10,72,25.0,250,0,1,Ben Simmons
2016,2,L.A. Lakers,Mitch Kupchak,General Manager,17,65,19.9,199,0,2,Brandon Ingram
2016,3,Brooklyn*,Isaiah Thomas,NBA Player,21,61,15.6,156,0,3,Jaylen Brown
2016,4,Phoenix,Devin Booker,NBA Player,23,59,11.9,119,0,4,Dragan Bender
2016,5,Minnesota,Karl-Anthony Towns,NBA Player,29,53,8.8,88,0,5,Kris Dunn
2016,6,New Orleans,Alvin Gentry,Head Coach,30,52,6.3,63,0,6,Buddy Hield
2016,7,New York†,Michael Malone,Head Coach,32,50,4.3,43,0,7,Jamal Murray
2016,8,Sacramento,Willie Cauley-Stein,NBA Player,33,49,1.9,19,0,8,Marquese Chriss
2016,9,Denver,Michael Malone,Head Coach,33,49,1.9,19,0,9,Jakob Poeltl
2016,10,Milwaukee,Jason Kidd,Head Coach,33,49,1.8,18,0,10,Thon Maker
2016,11,Orlando,Rob Hennigan,General Manager,35,47,0.8,8,0,11,Domantas Sabonis
2016,12,Utah,Steve Starks,President,40,42,0.7,7,0,12,Taurean Prince
2016,13,Washington,Zach Leonsis,VP/Monumental Sports Network,41,41,0.6,6,0,13,George Papagiannis
2016,14,Chicago,Jimmy Butler,NBA Player,42,40,0.5,5,0,14,Denzel Valentine
2017,1,Brooklyn*,Joel Embiid,NBA Player,20,62,25.0,250,0,1,Markelle Fultz
2017,2,L.A. Lakers,Magic Johnson,President of Basketball Operations,26,56,15.6,156,1,3,Lonzo Ball
2017,3,Sacramento†,Wyc Grousbeck,Governor Managing Partner,32,50,2.8,28,5,8,Jayson Tatum
2017,4,Phoenix,Devin Booker,NBA Player,24,58,19.9,199,-2,2,Josh Jackson
2017,5,Philadelphia‡,Dave Joerger,Head Coach,28,54,11.9,119,-1,4,De'Aaron Fox
2017,6,Orlando,Frank Vogel,Head Coach,29,53,8.8,88,-1,5,Jonathan Isaac
2017,7,Minnesota,Andrew Wiggins,NBA Player,31,51,5.3,53,-1,6,Lauri Markkanen
2017,8,New York,Walt Frazier,Knicks Alumni,31,51,5.3,53,-1,7,Frank Ntilikina
2017,9,Dallas,Michael Finley,Assistant VP of Basketball Operations,33,49,1.7,17,0,9,Dennis Smith Jr.
2017,10,New Orleans,Alvin Gentry,Head Coach,34,48,1.1,11,0,10,Zach Collins
2017,11,Charlotte,Rich Cho,General Manager,36,46,0.8,8,0,11,Malik Monk
2017,12,Detroit,Jeff Bower,General Manager,37,45,0.7,7,0,12,Luke Kennard
2017,13,Denver,Gary Harris,NBA Player,40,42,0.6,6,0,13,Donovan Mitchell
2017,14,Miami,Alonzo Mourning,Vice President of Player Programs,41,41,0.5,5,0,14,Edrice Adebayo
2018,1,Phoenix,Josh Jackson,NBA Player,21,61,25.0,250,0,1,Deandre Ayton
2018,2,Sacramento,De'Aaron Fox,NBA Player,27,55,5.3,53,5,7,Marvin Bagley III
2018,3,Atlanta,Jami Gertz,Ownership Group,24,58,13.7,137,1,4,Luka Doncic
2018,4,Memphis,Elliot Perry,Minority Owner/Director of Player Support,22,60,19.9,199,-2,2,"Jaren Jackson, Jr."
2018,5,Dallas,Michael Finley,Assistant VP of Basketball Operations,24,58,13.8,138,-2,3,Trae Young
2018,6,Orlando,Jeff Weltman,President of Basketball Operations,25,57,8.8,88,-1,5,Mohamed Bamba
2018,7,Chicago,Michael Reinsdorf,President/Chief Operating Officer,27,55,5.3,53,-1,6,"Wendell Carter, Jr."
2018,8,Brooklyn*,Nick Gilbert,Son of Team Owner,28,54,2.8,28,0,8,Collin Sexton
2018,9,New York,Scott Perry,General Manager,29,53,1.7,17,0,9,Kevin Knox
2018,10,L.A. Lakers†,Josh Jackson,NBA Player,35,47,1.1,11,0,10,Mikal Bridges
2018,11,Charlotte,Mitch Kupchak,President of Basketball Operations/GM,36,46,0.8,8,0,11,Shai Gilgeous-Alexander
2018,12,Detroit,Luke Kennard,NBA Player,39,43,0.7,7,0,12,Miles Bridges
2018,13,L.A. Clippers,Jerry West,Team Consultant,42,40,0.6,6,0,13,Jerome Robinson
2018,14,Denver,Jamal Murray,NBA Player,46,36,0.5,5,0,14,"Michael Porter, Jr."
2019,1,New Orleans,Alvin Gentry,Head Coach,33,49,6.0,60,6,7,Zion Williamson
2019,2,Memphis,Elliot Perry,Minority Owner/Director of Player Support,33,49,6.0,60,6,8,Ja Morant
2019,3,New York,Patrick Ewing,Knicks Alumni,17,65,14.0,140,-2,1,R.J. Barrett
2019,4,L.A. Lakers,Kyle Kuzma,NBA Player,37,45,2.0,20,7,11,De'Andre Hunter
2019,5,Cleveland,Nick Gilbert,Son of Team Owner,19,63,14.0,140,-3,2,Darius Garland
2019,6,Phoenix,Deandre Ayton,NBA Player,19,63,14.0,140,-3,3,Jarrett Culver
2019,7,Chicago,Horace Grant,Special Advisor to the President & COO,22,60,12.5,125,-3,4,Coby White
2019,8,Atlanta,Jami Gertz,Ownership Group,29,53,10.5,105,-3,5,Jaxson Hayes
2019,9,Washington,Raul Fernandez,Vice Chairman,32,50,9.0,90,-3,6,Rui Hachimura
2019,10,Dallas,Cynthia Marshall,CEO,33,49,6.0,60,-1,9,Cam Reddish
2019,11,Minnesota,Gersson Rosas,President of Basketball Operations,36,46,3.0,30,-1,10,Cameron Johnson
2019,12,Charlotte,James Borrego,Head Coach,39,43,1.0,10,0,12,P.J. Washington
2019,13,Miami,Alonzo Mourning,VP of Player Programs,39,43,1.0,10,0,13,Tyler Herro
2019,14,Sacramento*,Rich Gotham,President,39,43,1.0,10,0,14,Romeo Langford
2020,1,Minnesota,D'Angelo Russell,NBA Player,19,45,14.0,140,2,3,Anthony Edwards
2020,2,Golden State,Stephen Curry,NBA Player,15,50,14.0,140,-1,1,James Wiseman
2020,3,Charlotte,Devonte' Graham,NBA Player,23,42,6.0,60,5,8,LaMelo Ball
2020,4,Chicago,Arturas Karnisovas,Executive VP of Basketball Operations,22,43,7.5,75,3,7,Patrick Williams
2020,5,Cleveland,Brad Daughtery,Cavs Alumni,19,46,14.0,140,-3,2,Isaac Okoro
2020,6,Atlanta,Jami Gertz,Ownership Group,20,47,12.5,125,-2,4,Onyeka Okongwu
2020,7,Detroit,Troy Weaver,General Manager,20,46,10.5,105,-2,5,Killian Hayes
2020,8,New York,Leon Rose,President,21,45,9.0,90,0,8,Obi Toppin
2020,9,Washington,Rui Hachimura,NBA Player,25,47,4.5,45,0,9,Deni Avdija
2020,10,Phoenix,James Jones,General Manager,34,39,3.0,30,0,10,Jalen Smith
2020,11,San Antonio,Peter Holt,Chairman,32,39,2.0,20,0,11,Devin Vassell
2020,12,Sacramento,De'Aaron Fox,NBA player,31,41,1.3,13,0,12,Tyrese Haliburton
2020,13,New Orleans,Trajan Langdon,General Manager,30,42,1.2,12,0,13,"Kira Lewis, Jr."
2020,14,Memphis,Elliot Perry,Minority Owner/Director of Player Support,34,39,0.5,5,0,14,Aaron Nesmith
2021,1,Detroit,Ben Wallace,Pistons Alumni,20,52,14.0,140,1,2,Cade Cunningham
2021,2,Houston,Hakeem Olajuwon,Rockets Alumni,17,55,14.0,140,-1,1,Jalen Green
2021,3,Cleveland,Koby Altman,General Manager,22,50,11.5,115,2,5,Evan Mobley
2021,4,Toronto,Fred VanVleet,NBA Player,27,45,7.5,75,3,7,Scottie Barnes
2021,5,Orlando,Jeff Weltman,President of Basketball Operations,21,51,14.0,140,-2,3,Jalen Suggs
2021,6,OK City,Nazr Mohammed,Oklahoma City Blue GM/Thunder Scout,22,50,11.5,115,-2,4,Josh Giddey
2021,7,Golden St.,Rick Welts,President/Chief Operating Officer,23,49,9.0,90,-1,6,Jonathan Kuminga
2021,8,Chicago,Marc Eversley,General Manager,31,41,4.5,45,0,8,Franz Wagner
2021,9,Sacramento,Monte McNair,General Manager,31,41,4.5,45,0,9,Davion Mitchell
2021,10,New Orleans,Swin Cash-Canal,VP of Basketball Operations/ Team Development,31,41,4.5,45,0,10,Ziaire Williams
2021,11,Charlotte,Miles Bridges,NBA Player,33,39,1.8,18,0,11,James Bouknight
2021,12,San Antonio,Peter J. Holt,Managing Partner,33,39,1.7,17,0,12,Joshua Primo
2021,13,Indiana,Nancy Leonard,"Former Pacers Executive/ Widow to Former Coach Bobby ""Slick"" Leonard",34,38,1.0,10,0,13,Chris Duarte
2021,14,Golden St.,Rick Welts,President/Chief Operating Officer,39,33,0.5,5,0,14,Moses Moody
2022,1,Orlando,Jeff Weltman,President of Basketball Operations,22,60,14.0,140,1,2,Paolo Banchero
2022,2,OK City,Nick Collison,Thunder Alumni,24,58,12.5,140,2,4,Chet Holmgren
2022,3,Houston,Rafael Stone,General Manager,20,62,14.0,140,-2,1,Jabari Smith Jr.
2022,4,Sacramento,Domantas Sabonis,NBA Player,30,52,7.5,115,3,7,Keegan Murray
2022,5,Detroit,Richard Hamilton,Pistons Alumni,23,59,14.0,115,-2,3,Jaden Ivey
2022,6,Indiana,Kelly Krauskopf,Assistant General Manager,25,57,10.5,90,-1,5,Bennedict Mathurin
2022,7,Portland,Damian Lillard,NBA Player,27,55,9.0,75,-1,6,Shaedon Sharpe
2022,8,L.A. Lakers,Swin Cash-Canal,VP of Basketball Operations,33,49,6.0,45,0,8,Dyson Daniels
2022,9,San Antonio,David Robinson,Spurs Alumni/Strategic Partner,34,48,4.5,45,0,9,Jeremy Sochan
2022,10,Washington,Wes Unseld Jr.,Head Coach,35,47,3.0,45,0,10,Johnny Davis
2022,11,New York,William Wesley,Executive VP of Basketball Operations/ SR Basketball Advisor,37,45,2.0,18,0,11,Ousmane Dieng
2022,12,L.A. Clippers*,Nick Collison,Thunder Alumni,42,40,1.5,17,0,12,Jalen Williams
2022,13,Charlotte,PJ Washington Jr.,NBA Player,43,39,1.0,10,0,13,Jalen Duren
2022,14,Cleveland,Anderson Varejao,Team Ambassador,44,38,0.5,5,0,14,Ochai Agbaji
2023,1,San Antonio,Peter J. Holt,Managing Partner,22,60,14.0,140,2,3,Victor Wembanyama
2023,2,Charlotte,Mark Williams,NBA Player,27,55,12.5,125,2,4,Brandon Miller
2023,3,Portland,Brandon Roy,Trail Blazers Legend,33,49,10.5,105,2,5,Scoot Henderson
2023,4,Houston,Ime Udoka,Head Coach,22,60,14.0,140,-2,2,Amen Thompson
2023,5,Detroit,Ben Wallace,Basketball Operations/ Team Engagment Advisor,17,65,14.0,140,-4,1,Ausar Thompson
2023,6,Orlando,Jamahl Mosley,Head Coach,34,48,9.0,90,0,6,Anthony Black
2023,7,Indiana,Tyrese Haliburton,NBA Player,35,47,6.8,68,0,7,Bilal Coulibaly
2023,8,Washington,Wes Unseld Jr.,Head Coach,35,47,6.7,67,0,8,Jarace Walker
2023,9,Utah,Collin Sexton,NBA Player,37,45,4.5,45,0,9,Taylor Hendricks
2023,10,Dallas,Nico Harrison,President of Basketball Operations/GM,38,44,3.0,30,0,10,Cason Wallace
2023,11,Orlando,Jamahl Mosely,Head Coach,40,42,1.8,18,0,11,Jett Howard
2023,12,OK City,Nick Collison,Amateur Evaluation Scout,40,42,1.7,17,0,12,Dereck Lively II
2023,13,Toronto,Bobby Webster,General Manager,41,41,1.0,10,0,13,Gradey Dick
2023,14,New Orleans,David Griffin,EVP of Basketball Operations,42,40,0.5,5,0,14,Jordan Hawkins
2024,1,Atlanta,Landry Fields,General Manager,36,46,3.0,30,9,10,Zaccharie Risacher
2024,2,Washington,Bilal Coulibaly,NBA Player,15,67,14.0,140,0,2,Alexandre Sarr
2024,3,Brooklyn,Ime Udoka,Head Coach,32,50,4.5,45,6,9,Reed Sheppard
2024,4,San Antonio,Brian Wright,General Manager,22,60,10.5,105,1,5,Stephon Castle
2024,5,Detroit,Ausar Thompson,NBA Player,14,68,14.0,140,-4,1,Ron Holland Jr.
2024,6,Charlotte,Brandon Miller,NBA Player,21,61,13.3,133,-3,3,Tidjane Salaun
2024,7,Portland,Scoot Henderson,NBA Player,21,61,13.2,132,-3,4,Donovan Clingan
2024,8,Toronto,Scottie Barnes,NBA Player,25,57,9.0,90,-2,6,Rob Dillingham
2024,9,Memphis,Tayshaun Prince,VP of Basketball Affairs,27,55,7.5,75,-2,7,Zach Edey
2024,10,Utah,Thurl Bailey,Jazz Legend & Broadcaster,31,51,6.0,60,-2,8,Cody Williams
2024,11,Chicago,Julian Phillips,NBA Player,39,43,2.0,20,0,11,Matas Buzelis
2024,12,Houston,Ime Udoka,Head Coach,41,41,1.5,15,0,12,Nikola Topic
2024,13,Sacramento,Keegan Murray,NBA Player,46,36,0.8,8,0,13,Devin Carter
2024,14,Golden St.,Brandin Podziemski,NBA Player,46,36,0.7,7,0,14,Carlton Carrington
2025,1,Dallas,Rolando Blackman,Mavericks Legend,39,43,1.8,18,10,11,Cooper Flagg
2025,2,San Antonio,Mitch Johnson,Head Coach,34,48,6.0,60,6,8,Dylan Harper
2025,3,Philadelphia,Jared McCain,NBA Player,24,58,10.5,105,2,5,VJ Edgecombe
2025,4,Charlotte,Charles Lee,Head Coach,19,63,14.0,140,-1,3,Kon Knueppel
2025,5,Utah,Ashley Smith,Co-Owner,17,65,14.0,140,-4,1,Ace Bailey
2025,6,Washington,Bub Carington,NBA Player,18,64,14.0,140,-4,2,Tre Johnson
2025,7,New Orleans,Zion Williamson,NBA Player,21,61,12.5,125,-3,4,Jeremiah Fears
2025,8,Brooklyn,Jordi Fernandez,Head Coach,26,56,9.0,90,-2,6,Egor Demin
2025,9,Toronto,Masai Ujiri,President,30,52,7.5,75,-2,7,Collin Murray-Boyles
2025,10,Houston,Hakeem Olajuwon,Rockets Legend,36,46,3.8,38,-2,8,Khaman Maluach
2025,11,Portland,Toumani Camara,NBA Player,39,43,2.0,37,0,11,Cedric Coward
2025,12,Chicago,Matas Buzelis,NBA Player,39,43,1.7,17,0,12,Noa Essengue
2025,13,Sacramento,Keon Ellis,NBA Player,40,42,0.8,8,0,13,Derik Queen
2025,14,San Antonio,Mitch Johnson,Head Coach,40,42,0.7,7,0,14,Carter Bryant
